@relation 'x'
@attribute 'LATITUDE' numeric
@attribute 'LONGITUDE' numeric
@attribute 'PARCELNO' numeric
@attribute 'SALE_PRC' numeric
@attribute 'LND_SQFOOT' numeric
@attribute 'TOT_LVG_AREA' numeric
@attribute 'SPEC_FEAT_VAL' numeric
@attribute 'RAIL_DIST' numeric
@attribute 'OCEAN_DIST' numeric
@attribute 'WATER_DIST' numeric
@attribute 'CNTR_DIST' numeric
@attribute 'SUBCNTR_DI' numeric
@attribute 'HWY_DIST' numeric
@attribute 'age' numeric
@attribute 'avno60plus' numeric
@attribute 'month_sold' numeric
@attribute 'structure_quality' numeric
@data
25.8956119141,-80.1544185384,3.07447229742636e-312,1067300,10875,3137,15972,3200.4,10644.5,0,44968.8,38915.2,18007.1,31,0,5,5
25.8959663919,-80.1563252577,3.0744722969817e-312,1056000,8550,2266,34952,2658.6,11300.6,0,44914.6,39159.6,17421.5,42,0,12,5
25.8965906437,-80.1480698498,3.07447254396512e-312,9e+05,18745,3992,22191,4621.6,8524,80.8,45894.1,38871.9,20105.8,59,0,9,5
25.8968084764,-80.1564577689,3.07447259208711e-312,1015000,12315,1920,34340,2395.1,11328.9,0,45179.1,39419,17352.7,21,0,5,5
25.8969740713,-80.151359975,3.074472692086e-312,1235000,9375,2931,30962,3662.5,9665,0.2,45722.7,39195.8,19069.7,58,0,8,5
25.8970739756,-80.1470642984,3.07447274307358e-312,1587500,12500,4428,41032,4815.7,8226.9,0,46198.8,39022.9,20455.9,16,0,6,5
25.8972207514,-80.1489638897,3.07447274065265e-312,1265000,9375,3313,23278,4257.8,8852.7,0,46059.9,39174,19836.3,55,0,1,5
25.8975851356,-80.1513917581,3.0744726913449e-312,2450000,9375,4028,62453,3523.5,9672.6,4.8,45930.7,39415.6,19068.5,2,0,1,5
25.8975933919,-80.1511638343,3.0744726912955e-312,980000,9375,3083,39782,3584.5,9599,5.6,45956.4,39406.1,19144.5,57,0,6,5
25.8980587271,-80.1535868064,3.07447239322569e-312,1130000,9375,2650,4946,2835,10372.8,0,45902.9,39736.8,18330.5,60,0,8,5
25.8980679312,-80.1511942939,3.07447269085084e-312,1340000,9375,2566,38299,3479.1,9610.7,0,46114.7,39573.8,19140.8,58,0,2,5
25.8985041069,-80.1453945003,3.07447274312298e-312,1200000,15244,3315,26097,5067.3,7668.4,0,46848.5,39436.1,21037.4,37,0,8,5
25.8986569234,-80.1490239338,3.07447274030681e-312,1550000,9375,2358,25757,3974.4,8856.3,0,46547.7,39690.8,19835.7,42,0,1,5
25.8989153848,-80.145918368,3.07447274371586e-312,1020000,9750,2494,48603,4844.5,7829.6,5.1,46955.5,39637,20858.2,16,0,1,5
25.8989791034,-80.1573563733,3.0744725905061e-312,975000,9375,2541,22771,1673,11600.7,3.6,45878.9,40296.2,17128.6,52,0,12,5
25.8991147778,-80.1532505715,3.07447268912161e-312,950000,9375,2387,24193,2704.7,10250.9,0,46285.1,40070,18479.8,26,0,10,5
25.8994777195,-80.148292138,3.07447274134435e-312,1675000,13176,4480,31386,4048.2,8595.8,0,46908.8,39925.7,20065.3,24,0,5,5
25.9010582278,-80.150690969,3.56819167316016e-312,120000,1889,862,0,3144.4,9396,501.4,47253.4,40661.5,19372.4,21,0,10,1
25.901797204,-80.157754953,3.56819165300229e-312,73000,2654,916,1342,967.4,11708.3,803.5,46884,41370.9,17059.2,66,0,9,1
25.9018385592,-80.1550050836,3.56819165646075e-312,86500,2999,861,2207,1741,10796.2,835.7,47121.7,41200,17946.2,62,0,2,2
25.90226147,-80.1546475117,3.5681916606109e-312,99300,3000,884,0,1773.5,10668.4,986.1,47305.5,41324.7,18082.7,58,0,1,2
25.9261212689,-80.1282938893,1.54254213061532e-311,1604000,9140,1484,6970,8143.2,2416.9,7.2,58214.8,49161.3,17891.1,46,0,3,5
25.9286204707,-80.1414704516,3.56789512073044e-312,1225000,9350,3096,25519,3720.8,6775.6,36.7,57701.4,50234.3,14328.4,16,0,10,5
25.9294058818,-80.1394298492,3.56789511840833e-312,1830000,8800,4729,31661,4288.9,6130,10.4,58142.5,50464.3,14538.6,16,0,7,5
25.9295632763,-80.142110763,3.56789512048341e-312,1900000,9200,4289,21507,3423.6,7013.6,34.8,57952.4,50589.1,13916.1,36,0,1,4
25.9302875937,-80.138128165,3.56789511697554e-312,1100000,8800,2520,20962,4616.9,5744.8,0,58584.9,50767.2,14581.5,31,0,11,4
25.9333969996,-80.1388211567,3.56764808168229e-312,1375000,9200,2991,28567,4097.8,6088.9,10.5,59591.3,51907.6,13585.3,35,0,5,4
25.9334230059,-80.1380844211,3.56764808153407e-312,1425000,9200,2676,26650,4329.7,5849,11.8,59673.3,51905.1,13751.1,42,0,12,4
25.9344503278,-80.138452801,3.56764808296686e-312,1270000,8800,3082,21648,4113.1,5981.9,15.6,59994.3,52284.2,13403.6,45,0,1,4
25.9348715318,-80.1390075282,3.56764808375737e-312,1250000,9350,2990,46641,3891.9,6166.9,11,60086.7,52448,13164.2,27,0,11,4
25.9354297416,-80.1397173463,3.56764808449847e-312,1300000,8800,3054,26327,3614.9,6406.3,10.2,60213.5,52663.2,12857.6,29,0,10,4
25.9374973065,-80.139083998,3.56764808662295e-312,1200000,8800,2932,34031,3609.3,6251.8,11.2,60991.5,53400.4,12493.5,30,0,12,4
25.9477512441,-80.1229052716,1.54248285761413e-311,2100000,11876,3537,27568,7889,1223.1,25.2,63232.2,57093,15124.4,28,0,7,4
25.9486101547,-80.123784232,1.54248285756473e-311,9e+05,13570,2111,2801,7501.9,1510.1,218.2,62911.1,57407.5,14649.4,47,0,7,2
25.9488947784,-80.1229069885,1.54248285750544e-311,715000,7500,4098,0,7890.7,1284.8,386.9,62834.1,57524.4,14978.8,61,0,2,4
25.9510053572,-80.1214113119,1.54248307961265e-311,1600000,4402,3089,36292,8363.1,813.1,668.6,62149.3,58342.5,15202.9,1,0,2,5
25.9513415656,-80.1213901256,1.54248307962747e-311,1550000,4402,3089,35539,8374,809.4,668,62028.6,58464.9,15174.2,1,0,6,5
25.9514535589,-80.1213818659,1.54248307963241e-311,1650000,4402,3089,35539,8377.7,808.5,667.3,61988.4,58505.6,15164.8,1,0,5,5
25.956549643,-80.122559504,1.54248299095751e-311,1200000,7290,3912,37296,8063.4,1224.7,328.8,60076.1,60076.1,14353.5,19,0,10,5
25.9566388427,-80.1239600693,1.54248299102174e-311,1385000,5904,3678,1292,7574.6,1661.2,151.8,60022.8,60022.8,13879.2,10,0,11,5
25.956810508,-80.1230802948,1.54248299105632e-311,1200000,5564,2978,31117,7847.3,1377.8,257,59988.7,59988.7,14132.4,9,0,12,5
25.9569408865,-80.1211070009,1.54248299113043e-311,1100000,5500,2626,36208,8556.3,762.2,398.1,59983.9,59983.9,14802.7,10,0,7,5
25.9595193828,-80.1215048651,9.44826457700769e-312,2600000,13125,3482,42460,8385.9,865.5,18.8,59042.4,59042.4,14469.2,30,0,5,4
25.9603194522,-80.1296975372,1.39426329223484e-311,1650000,8144,2674,39943,5757.2,3583.8,336.1,58493.8,58493.8,11819.8,22,0,10,5
25.960574499,-80.1294208202,1.39426329223978e-311,1250000,6286,3015,34153,5823.5,3483.3,305.3,58415.6,58415.6,11865.8,18,0,12,5
25.9616156315,-80.1290411497,1.39426329215578e-311,1365000,5000,3611,32658,5975.4,3365.7,545.1,58080,58080,11958.8,18,0,11,5
25.966154153,-80.1220130305,9.4482646290328e-312,2600000,15963,2707,185,8298.3,1094.9,0,56623,56623,14121.3,77,0,5,4
25.9678166313,-80.1384572549,1.38948094959693e-311,1189900,4692,3236,0,2951.4,6580.7,1633.4,55656.6,55656.6,8745.6,17,0,1,5
25.9679820173,-80.1386415792,1.38948094958705e-311,1100000,3912,3143,0,2907.1,6630.6,1682.5,55623.9,55623.9,8697.5,17,0,1,5
25.9681911665,-80.1260508411,1.38948583538246e-311,1060000,7005,2868,23100,7036.8,2517.4,121.3,55735.3,55735.3,12826.9,24,0,12,5
25.968266027,-80.1259119136,1.3894858353874e-311,925000,7000,2802,0,7076.8,2470.7,134.8,55711,55711,12866.4,25,0,6,5
25.9687092531,-80.1279746853,1.38948579582262e-311,860000,4002,2553,0,6411.9,3163.5,322.8,55534.4,55534.4,12200,25,0,10,5
25.968746686,-80.1262723241,1.38948583536269e-311,9e+05,5703,2802,19250,6964.9,2592,213.5,55547.1,55547.1,12752.8,23,0,11,5
25.9688195691,-80.1375010799,1.38948094975503e-311,747000,3063,2486,0,3292.2,6293.8,1421.5,55307.9,55307.9,9079.9,16,0,9,5
25.9689460763,-80.1262628707,1.38948579600048e-311,875000,4071,3041,0,6983.6,2603.2,129.8,55477.8,55477.8,12771.4,23,0,11,5
25.968949375,-80.1279847438,1.38948579581274e-311,8e+05,4002,2868,0,6412.2,3162.1,238.8,55450.7,55450.7,12200,25,0,12,5
25.9691836022,-80.125976757,1.38948579613882e-311,940000,4002,2802,0,7076,2499,11.4,55394,55394,12863.8,24,0,6,5
25.9709959518,-80.1381229916,1.3894809641521e-311,750000,3335,2365,0,3103.1,6477.3,1781.3,54513.4,54513.4,8907.1,15,0,9,5
25.9717992103,-80.1362515606,1.38948096475486e-311,1075000,4439,3013,0,3750.4,5898.8,1140.5,54223.7,54223.7,9567,15,0,3,5
25.9718088515,-80.1361301575,1.38948096474992e-311,897000,4512,2633,0,3790.5,5860.7,1110,54222,54222,9607.5,15,0,2,5
25.9720719756,-80.1373107473,1.38948096466099e-311,1100000,4466,2586,0,3372,6228.7,1356,54142.4,54142.4,9195.6,15,0,4,5
25.9724851077,-80.1381998368,1.38948096462641e-311,842000,3036,2365,0,3116.2,6557,1559.1,53972.6,53972.6,8946.2,14,0,6,5
25.9743818667,-80.1197463899,9.44826442844215e-312,2400000,10796,4796,31937,9141.4,435.7,312.8,53750.2,53750.2,14994.2,13,0,4,5
25.8872805164,-80.1766668286,3.07452249138337e-312,355000,10200,1245,1112,1261.4,18219,4147.9,40475.4,38203.9,10600.3,21,0,2,2
25.8880848848,-80.1754943188,3.07452264182636e-312,285000,7540,1069,912,1011.1,17791.8,3772.9,40850.6,38348.8,10973.8,69,0,5,4
25.8881396567,-80.178057756,3.07452249247031e-312,252500,10772,1101,1110,1803.7,18650.5,3921.7,40728.5,38669.8,10157.7,26,0,1,2
25.888513353,-80.1780707877,3.07452249172921e-312,225000,10674,1889,5215,1862.2,18636.9,3979.1,40865.2,38801.7,10159.3,69,0,5,2
25.8894233843,-80.1735801883,3.07452184993794e-312,108000,7260,878,158,624.3,17104.6,2987.5,41420.5,38558.2,11626,67,0,6,1
25.891947374,-80.1836685926,3.07457086026188e-312,155000,9372,1699,5526,4043.3,20361.1,2966.2,41932,40700.3,8381.5,71,0,12,2
25.8922233665,-80.1789822571,3.07457115640482e-312,118000,7230,1249,1214,2672.7,18803.6,4198.9,42198.1,40179.9,9908.7,58,0,12,2
25.8925468499,-80.1813693147,3.07457076446255e-312,195000,9100,1353,2428,3444.1,19593.8,3736.9,42210.5,40581.9,9146.9,67,0,10,2
25.8928846136,-80.1823566821,3.07457076416611e-312,210000,9450,1193,3809,3786.6,19905.1,3506.1,42305.5,40826.7,8821.9,67,0,6,2
25.8929885539,-80.1799318737,3.07457076302976e-312,160000,10500,914,0,3065.7,19106.7,4225.7,42412.5,40533.4,9621,81,0,6,1
25.8930362491,-80.1746674346,3.07452283727873e-312,155000,8224,1879,2945,1480.7,17374.4,2753.2,42654.4,39906.5,11345.7,66,0,8,4
25.8932987116,-80.174677389,3.07452283732813e-312,289000,8090,2431,23707,1522,17372.6,2740.7,42750.2,39998.4,11347.3,46,0,4,4
25.8937648873,-80.1767658574,3.07452288629004e-312,180000,4950,1167,293,2222.4,18038.9,3394.6,42851,40427.6,10661.9,70,0,2,4
25.8938034675,-80.1733939074,3.07452303451467e-312,240000,6850,1320,4920,1208.7,16956.4,2312.9,42974.8,40003.1,11794.7,0,0,3,2
25.8939203602,-80.1800035795,3.07457105862923e-312,250000,8862,1804,3259,3222.8,19117.8,4369.5,42745.7,40853,9619.7,69,0,3,4
25.8951199577,-80.1734168625,3.07452234370715e-312,260000,10725,1877,1731,1391,16928.1,2283.7,43443.7,40449,11795.4,21,0,4,2
25.8951199577,-80.1734168625,3.07452234370715e-312,285000,10725,1877,1731,1391,16928.1,2283.7,43443.7,40449,11795.4,21,0,8,2
25.8951761516,-80.1851394069,3.07457081698172e-312,179000,6900,1317,906,4963.8,20791.8,3091.9,43076.7,41974,7957.6,26,0,4,2
25.8952027125,-80.1715830055,3.07452239321252e-312,175000,9088,1404,990,866.9,16331.4,1687,43566,40272.8,12404.7,67,0,4,2
25.8954311735,-80.179037496,3.07452357907383e-312,305000,9525,1228,26063,3137.5,18772,4126.6,43326.6,41234.8,9953.8,21,0,3,2
25.8955446743,-80.1757701797,3.07452199702128e-312,216000,16006,1711,0,2144.3,17677.7,3032.5,43485.8,40861.1,11010,70,0,10,2
25.8957279461,-80.1716107595,3.07452239276786e-312,2e+05,8960,1617,70,963.9,16331.4,1686,43753.5,40455.9,12402.5,67,0,3,4
25.8960459609,-80.1732342977,3.07452234296605e-312,291500,10500,1638,0,1484.8,16859.9,2213.3,43784.9,40743.4,11870.9,21,0,11,4
25.8960551672,-80.1730001514,3.07452234301545e-312,280000,10500,1343,1140,1414.7,16779.2,2132.6,43798.4,40718.6,11944.3,21,0,9,2
25.8964786893,-80.1751765451,3.07452175092718e-312,269000,7800,1546,2761,2132.2,17501.4,2860.2,43861.7,41124.3,11245.5,21,0,7,4
25.8965755247,-80.1732584037,3.07452224711731e-312,266500,10275,1528,2943,1583.8,16864,2226,43975.2,40928.2,11870.9,59,0,8,4
25.8968126479,-80.1789209293,3.07452357986433e-312,260000,7650,1459,1900,3299.6,18714.7,4081.3,43860.3,41709.8,10005.2,21,0,5,2
25.8968452287,-80.1761042185,3.07452175043312e-312,180000,7800,1329,3935,2464.8,17808,3175.7,43951.4,41355.3,10948.4,69,0,7,2
25.8970000292,-80.1720956497,3.07452224578333e-312,3e+05,8220,2141,1439,1350.1,16489,1873.4,44186.5,40946.4,12267.9,65,0,7,4
25.8980593349,-80.1819714401,3.07452353687568e-312,167500,6850,1395,1493,4407.2,19711.1,4153.5,44192.2,42496.7,9042.9,67,0,4,2
25.8982585826,-80.1683641276,3.07452219815541e-312,230000,9360,1055,3042,713.3,15198.7,985.8,44847.1,40988.5,13469.1,26,0,12,2
25.8983020474,-80.1758263284,3.07452362896952e-312,130000,9111,902,880,2635.5,17684,3171.9,44485,41813.4,11059.2,67,0,3,1
25.8983096461,-80.1756232175,3.07452362901892e-312,135000,9111,2389,0,2575.4,17612.8,3102.3,44495.3,41790.3,11121.5,67,0,4,2
25.8984741482,-80.1784993095,3.07452353381247e-312,122000,6227,927,2206,3433.2,18537.2,4030.7,44479.6,42219.8,10164,66,0,2,2
25.89925744,-80.1752729481,3.0745236280802e-312,155000,8580,1323,1369,2673,17482.5,3104.2,44850.7,42072.4,11256.6,66,0,10,2
25.8995099212,-80.1782129693,3.07452353970174e-312,160000,8633,1551,4466,3526.9,18435.6,4039.2,44831.6,42506.2,10287.3,36,0,6,2
25.9008043265,-80.1700110235,3.07407669679104e-312,247500,7620,1731,75,1733.1,15738.2,2003.5,45667.3,42042.1,13016.8,26,0,3,2
25.9010165372,-80.1856294488,3.07402738978068e-312,105000,7680,1144,4314,5943.4,20863.5,3021,45201.1,43977.1,7890.7,61,0,1,1
25.9012806298,-80.169971446,3.0740766980262e-312,185000,9108,2206,1565,1832.1,15715.4,2101.4,45836.5,42198.4,13034.6,61,0,10,2
25.9016786372,-80.170371522,3.07407669777917e-312,289000,10560,1596,33845,2020.4,15839.2,2289.5,45954.8,42373,12904.6,39,0,2,2
25.9017514891,-80.1824870241,3.07402739328855e-312,145000,9000,1192,0,5160.6,19831.3,4062.9,45524.4,43802.1,8937.9,69,0,7,1
25.9019343324,-80.1781129652,3.07402739200398e-312,180000,8160,1796,1083,4009.3,18392.6,4370.3,45719.1,43323.5,10380.6,36,0,4,2
25.9021546567,-80.1807316738,3.07402739259685e-312,275000,9077,1730,3246,4752.3,19253.3,4651.4,45716,43714.7,9529.5,64,0,4,2
25.902195306,-80.1704385656,3.0740767504021e-312,240000,10425,1682,20511,2163.7,15865.8,2431.8,46134.6,42556.8,12900.6,61,0,7,2
25.9022042216,-80.179596393,3.07402739234982e-312,276000,9000,1517,2184,4454.1,18877.4,4843,45765.6,43589.6,9901.5,41,0,8,2
25.9023291054,-80.1670504727,3.07407674960665e-312,215000,9730,1154,2445,1378,14754.4,1603.9,46370.9,42277.7,14018.2,41,0,12,2
25.9025868631,-80.1700056486,3.07407675034775e-312,300033,10425,2219,5168,2153.2,15723.3,2425.5,46298.5,42649.5,13054.2,31,0,8,4
25.9026909427,-80.1807482972,3.07402743755683e-312,245000,9728,1424,2852,4866.6,19257,4656.6,45914,43897.9,9543.7,21,0,7,4
25.9026971799,-80.1670736582,3.07407674975487e-312,225000,9730,1399,0,1464.7,14761.3,1694,46504.8,42406.3,14022,66,0,9,2
25.9029284577,-80.1838590358,3.07402739541303e-312,218400,9525,1461,0,5764.1,20279.4,3644.1,45917.8,44368.5,8529.1,21,0,4,4
25.9029578161,-80.1630673721,3.07407723937393e-312,230000,8775,1969,27216,564.6,13444.3,1067.6,46847.8,42144.4,15341.4,63,0,8,2
25.9031540656,-80.1783270266,3.07402739709285e-312,228500,9525,1306,1891,4336.2,18463.2,4656.2,46148,43756.5,10347.8,26,0,11,4
25.9035957684,-80.1671272258,3.07407674812446e-312,171000,9730,2079,23528,1693.2,14784.6,1945.9,46819.1,42721.3,14034.2,66,0,2,2
25.9038118297,-80.1759612559,3.07402739931615e-312,150000,8636,1836,0,3914.8,17693.5,4188.9,46473.4,43710.9,11145.1,68,0,6,2
25.9039079019,-80.1642971087,3.07407763625686e-312,278000,8500,2045,16620,1086.9,13855.6,1535,47123.4,42596.4,14963.9,57,0,2,4
25.9039421218,-80.1720914886,3.07407674703751e-312,195000,10500,1112,648,2991,16418.4,3259.3,46679.2,43328.5,12413.4,66,0,4,2
25.9041478964,-80.1761807456,3.07402739892089e-312,120000,8636,1023,0,4049.4,17770.1,4323.2,46585.1,43849.1,11073.8,69,0,3,1
25.9043114745,-80.1723349461,3.07407674679048e-312,259000,10500,1538,1540,3143,16506,3412.2,46802.7,43483.3,12334.7,21,0,8,2
25.9043284329,-80.1718848033,3.07407674669167e-312,250000,10500,1483,0,3035.9,16357.5,3297.3,46829.5,43441.8,12481.2,31,0,8,2
25.9044537343,-80.1822757188,3.07402754091536e-312,240000,9506,1022,25597,5647.6,19775.4,4241.8,46501.4,44673.1,9068,36,0,11,2
25.9044950818,-80.1812553054,3.07402754116239e-312,170000,9503,1360,3004,5399.3,19444.8,4577.5,46541.8,44566.1,9406.7,41,0,7,2
25.9045386947,-80.1801766386,3.07402779703899e-312,235000,10500,1388,3893,5121,19081.7,4921.2,46587.9,44442.7,9752.1,21,0,4,4
25.9046977743,-80.1852880352,3.07402754210112e-312,266000,10727,1159,23005,6505.5,20766.5,3284.7,46528.7,45141.3,8075.5,31,0,4,2
25.9047186144,-80.1848969648,3.07402754160705e-312,210000,9506,1140,3590,6408.6,20646.1,3417.3,46542.2,45098.6,8211,69,0,11,2
25.9047284136,-80.184705787,3.07402754155765e-312,336500,9506,1764,20337,6353.6,20577.9,3474,46548.1,45074.5,8268.4,21,0,7,4
25.9049857345,-80.1687928288,3.07407664728566e-312,235000,10016,1665,1036,2437.8,15352.9,2685.1,47229,43363.4,13492.3,65,0,3,2
25.9058598674,-80.1688348111,3.07407664649515e-312,132000,10031,1811,0,2662.7,15389.6,2942.4,47542.5,43674.2,13473.7,66,0,11,2
25.9065503178,-80.1749276331,3.07402778394625e-312,262000,9315,1217,0,4319.3,17411.3,4578.8,47495.2,44525,11471.4,21,0,11,2
25.9066766635,-80.1808190831,3.07402778710827e-312,229500,8100,1046,0,5801.6,19352.9,4889.8,47348.5,45249.6,9542,16,0,8,2
25.9066887152,-80.1708558625,3.074077437099e-312,120000,7946,1223,23935,3362.2,16085.2,3604.8,47735.5,44158.6,12810.8,67,0,11,1
25.9067065237,-80.1800895217,3.07402778691065e-312,289900,8100,2785,10388,5628.4,19112.2,5121.7,47378.9,45171.4,9779.3,26,0,12,4
25.9068374355,-80.1673050663,3.07407837532966e-312,210000,12649,2138,2280,2529.6,14923.3,2935.6,47967.3,43872.2,13971.4,45,0,1,2
25.9069712987,-80.1736755675,3.074027783551e-312,245000,8040,1744,2907,4124.6,17021.6,4353.2,47704.8,44545.6,11888.3,36,0,8,4
25.907272146,-80.1829822474,3.07402734600646e-312,253500,6527,1764,20094,6486.7,20064.8,4270.7,47543.2,45740.4,8811.2,36,0,12,4
25.9073984083,-80.1857489253,3.07402734704894e-312,241000,9714,1871,3115,7202.2,20980.5,3434.3,47500.9,46101.7,7911.1,21,0,2,4
25.9074753562,-80.1842232014,3.07402734645112e-312,250000,17577,1397,15000,6811.2,20455.9,3888.4,47558.8,45928.4,8384.3,46,0,4,4
25.9076080462,-80.1809155598,3.07402734526536e-312,165000,8723,1008,3445,6051.5,19412.2,4958.5,47685.9,45578.3,9505.4,31,0,9,2
25.9077241152,-80.1778998859,3.0740273440302e-312,205000,8712,1239,0,5337.5,18426.1,5606.7,47815.1,45262.8,10494,65,0,2,2
25.9078385681,-80.1746434183,1.49316520641267e-311,240000,8712,1580,2550,4568,17364.6,4795.4,47977.5,44945,11562.6,0,0,4,2
25.9079000828,-80.1866303254,3.07402733854607e-312,179000,13900,1030,0,7532,21271.7,3222.8,47668,46377.9,7606.9,31,0,4,2
25.9079606398,-80.1843375731,3.07402733963302e-312,145000,7867,1167,1719,6978.9,20541.8,3947.3,47737.9,46118.5,8378.2,41,0,2,2
25.9080799152,-80.1679541238,1.49316520626939e-311,148900,9900,1556,0,2973.7,15183.3,3424,48378.1,44362.6,13752.4,61,0,9,1
25.9080799152,-80.1679541238,1.49316520626939e-311,158000,9900,1556,0,2973.7,15183.3,3424,48378.1,44362.6,13752.4,61,0,9,1
25.9080799152,-80.1679541238,1.49316520626939e-311,177500,9900,1556,0,2973.7,15183.3,3424,48378.1,44362.6,13752.4,61,0,9,1
25.9084862225,-80.1809653567,3.0740273405421e-312,215000,9052,1648,1967,6272.5,19457.4,5049.4,47999.9,45878.1,9484.7,36,0,4,4
25.9088680135,-80.1844718855,3.07402773775111e-312,210000,7740,1700,0,7225.9,20624.6,4045.2,48060.4,46434.9,8336.5,41,0,6,4
25.9090007924,-80.1806786125,3.07402773488553e-312,267500,8385,1445,0,6329.1,19387.7,5206.4,48194.3,46019.7,9580.4,62,0,9,2
25.909284319,-80.1739219533,1.49316520607176e-311,140000,9042,1427,16795,4589.1,17196.4,4796.3,48524.2,45363.9,11797.9,62,0,1,1
25.909284319,-80.1739219533,1.49316520607176e-311,165000,9042,1427,16795,4589.1,17196.4,4796.3,48524.2,45363.9,11797.9,62,0,6,1
25.9092981109,-80.1830952235,3.07402773424325e-312,3e+05,12655,1633,0,6987.4,20176.4,4501,48249.8,46412.8,8771.1,21,0,1,4
25.9093568695,-80.1816593407,3.0740277338974e-312,324000,8385,2313,0,6658,19722.5,4953.8,48303.9,46261.6,9255.6,21,0,12,4
25.9101134278,-80.1845277435,3.07402773715824e-312,220000,7320,1602,1564,7544.6,20697.9,4223.5,48514,46865,8316.8,31,0,7,4
25.910185971,-80.1824877683,3.07402773607129e-312,3e+05,7800,2601,10606,7060.2,20034,4829.4,48580.2,46637.5,8984.2,21,0,8,4
25.9104492884,-80.1663312745,1.49316520670417e-311,170700,9042,1542,1940,2347.8,14767.7,3052.2,49317.7,45048.6,13404.4,61,0,12,1
25.9105355693,-80.1737965065,1.49316520575556e-311,231000,9042,1382,0,4350.4,17219,4461.9,48980.1,45782.3,11766.6,21,0,2,2
25.9105560003,-80.1836724106,1.49316038764221e-311,217000,10500,1544,803,7406.4,20412,4528,48719.1,46933.5,8559.6,31,0,5,4
25.9105810242,-80.1726272017,1.4931652058104e-311,180000,9042,1782,3759,3992.4,16836.9,4161.2,49045.4,45680,12087.4,26,0,4,2
25.9107010124,-80.1698028342,1.49316520588402e-311,220000,9042,1163,0,3160.9,15916.1,3509.3,49223.8,45450.7,12647.7,16,0,10,2
